iso3,country,disaggregation,disagg.value,region,subregion,section,under_5_stunting_track,anaemia_track,lbw_track,under_5_overweight_track,ebf_track,under_5_wasting_track,sodium_track,rbp_female_track,rbp_male_track,adult_fem_obesity_track,adult_mal_obesity_track,adult_fem_diabetes_track,adult_mal_diabetes_track
RWA,Rwanda,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Some progress,Some progress,Some progress,On course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
KNA,Saint Kitts and Nevis,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,No data,No progress or worsening,No data,No data,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course
LCA,Saint Lucia,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,On course,No progress or worsening,No data,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,On course,Off course
VCT,Saint Vincent and the Grenadines,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,No data,No progress or worsening,No data,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
WSM,Samoa,all,,Oceania,Polynesia,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,No data,On course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SMR,San Marino,all,,Europe,Southern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,On Course,No data,No data,No data,No data,No data,No data,Off course,Off course,Off course,Off course
STP,Sao Tome and Principe,all,,Africa,Middle Africa,The burden of malnutrition at a glance,On course,No progress or worsening,Some progress,Off course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SAU,Saudi Arabia,all,,Asia,Western Asia,The burden of malnutrition at a glance,On course,No progress or worsening,No data,Off course,No data,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
SEN,Senegal,all,,Africa,Western Africa,The burden of malnutrition at a glance,Some progress,Some progress,Some progress,Off course,Some progress,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SRB,Serbia,all,,Europe,Southern Europe,The burden of malnutrition at a glance,Some progress,No progress or worsening,On Course,On course,Some progress,On course,Off course,Off course,Off course,Off course,Off course,On course,Off course
SYC,Seychelles,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SLE,Sierra Leone,all,,Africa,Western Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,Off course,On course,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SGP,Singapore,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,Off course,No data,No data,Off course,On course,On course,Off course,Off course,On course,Off course
SVK,Slovakia,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,Some progress,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SVN,Slovenia,all,,Europe,Southern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,On course,On course
SLB,Solomon Islands,all,,Oceania,Melanesia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,Off course,On course,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SOM,Somalia,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course
ZAF,South Africa,all,,Africa,Southern Africa,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,No progress or worsening,On course,No data,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SSD,South Sudan,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,No data,No data,Off course,No data,No data,Off course,Off course,Off course,Off course
ESP,Spain,all,,Europe,Southern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,On course,On course,Off course,Off course,Off course,Off course
LKA,Sri Lanka,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,On course,On course,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
PSE,State of Palestine,all,,Asia,Western Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,Some progress,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SDN,Sudan,all,,Africa,Northern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,On course,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SUR,Suriname,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,Some progress,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SWE,Sweden,all,,Europe,Northern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,On Course,No data,No data,No data,Off course,On course,On course,Off course,Off course,On course,Off course
CHE,Switzerland,all,,Europe,Western Europe,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SYR,Syrian Arab Republic,all,,Asia,Western Asia,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,No data,On course,No progress or worsening,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
TJK,Tajikistan,all,,Asia,Central Asia,The burden of malnutrition at a glance,On course,No progress or worsening,Some progress,On course,Some progress,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
THA,Thailand,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,On course,No progress or worsening,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
TLS,Timor-Leste,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,Some progress,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
TGO,Togo,all,,Africa,Western Africa,The burden of malnutrition at a glance,Some progress,Some progress,No progress or worsening,Off course,On course,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
TON,Tonga,all,,Oceania,Polynesia,The burden of malnutrition at a glance,On course,No progress or worsening,No data,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
TTO,Trinidad and Tobago,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,No progress or worsening,Off course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
TUN,Tunisia,all,,Africa,Northern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,Off course,Some progress,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
TUR,Turkey,all,,Asia,Western Asia,The burden of malnutrition at a glance,No data,No data,Some progress,No data,No progress or worsening,On course,Off course,On course,Off course,Off course,Off course,Off course,Off course
TKM,Turkmenistan,all,,Asia,Central Asia,The burden of malnutrition at a glance,On course,No progress or worsening,On Course,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
TUV,Tuvalu,all,,Oceania,Polynesia,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,No data,On course,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course
UGA,Uganda,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,Some progress,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
UKR,Ukraine,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
ARE,United Arab Emirates,all,,Asia,Western Asia,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,On course,On course,Off course,Off course,Off course,Off course
GBR,United Kingdom of Great Britain and Northern Ireland,all,,Europe,Northern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,On course,On course,Off course,Off course,Off course,Off course
TZA,United Republic of Tanzania,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Some progress,Some progress,Some progress,Off course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
USA,United States of America,all,,North America,Northern America,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,On course,Some progress,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
URY,Uruguay,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,On course,No progress or worsening,Some progress,On course,No data,On course,Off course,On course,On course,Off course,Off course,Off course,Off course
UZB,Uzbekistan,all,,Asia,Central Asia,The burden of malnutrition at a glance,On course,Some progress,No progress or worsening,On course,No data,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
VUT,Vanuatu,all,,Oceania,Melanesia,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,No progress or worsening,On course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
VEN,Venezuela (Bolivarian Republic of),all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,No data,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
VNM,Viet Nam,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,Off course,Some progress,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
YEM,Yemen,all,,Asia,Western Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,No data,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
ZMB,Zambia,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
ZWE,Zimbabwe,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,On course,Some progress,No progress or worsening,On course,Some progress,On course,Off course,Off course,Off course,Off course,Off course,Some progress,Off course
